,job,L1,L2,amount,L3,L4
119,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.1 เงินเดือน 456,300 บาท","25,200","01102-1 เงินเลื่อนขั้น 25,200 บาท",
120,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.1 เงินเดือน 456,300 บาท","8,700","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 8,700 บาท",
121,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.1 เงินเดือน 456,300 บาท",2.600,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 2.600 บาท,
122,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.2 ค่าจ้างประจํา[ ] 7,216,400 บาท","6,690,400","01201-1 อัตราเดิม 31 อัตรา 6,690,400 บาท",
123,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.2 ค่าจ้างประจํา[ ] 7,216,400 บาท","323,400","01202-1 เงินเพิ่มค่าจ้างประจํา 323,400 บาท",
124,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.2 ค่าจ้างประจํา[ ] 7,216,400 บาท","134,800","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 134,800 บาท",
125,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.2 ค่าจ้างประจํา[ ] 7,216,400 บาท","67,800","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 67,800 บาท",
126,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.3 ค่าจ้างชั่วคราว[ ] 7,056,000 บาท","5,186,400","02101-1 ค่าจ้างชั่วคราว 49 อัตรา 5,186,400 บาท",
127,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.3 ค่าจ้างชั่วคราว[ ] 7,056,000 บาท","693,600","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 693,600 บาท",
128,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.3 ค่าจ้างชั่วคราว[ ] 7,056,000 บาท","1,176,000","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 1,176,000 บาท",
129,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 435,400 บาท","29,900","03611-1 ค่าเครื่องแต่งกาย 29,900 บาท",
130,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 435,400 บาท","52,700","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 52,700 บาท",
131,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 5,000,000 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 5,000,000 บาท","5,000,000",,
132,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 5,000,000 บาท","2.1 ค่าตอบแทน 1,034,700 บาท","1,034,700",,
133,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 5,000,000 บาท","2.2 ค่าใช้สอย 385,200 บาท","385,200",,
134,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 5,000,000 บาท","2.3 ค่าวัสดุ 3,580,100 บาท","3,580,100",,
135,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","07199-1 ค่าใช้จ่ายในการบํารุงรักษา ปรับปรุง  และเพิ่มพื้นที่สีเขียว 700,000 บาท","700,000",,
136,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.1 เงินเดือน 2,163,240 บาท","2,024,960","01101-1 อัตราเดิม 5 อัตรา 2,024,960 บาท",
137,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.1 เงินเดือน 2,163,240 บาท","121,480","01102-1 เงินเลื่อนขั้น 121,480 บาท",
138,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.2 ค่าจ้างประจํา[ ] 4,138,520 บาท","3,881,200","01201-1 อัตราเดิม 17 อัตรา 3,881,200 บาท",
139,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.2 ค่าจ้างประจํา[ ] 4,138,520 บาท","232,880","01202-1 เงินเพิ่มค่าจ้างประจํา 232,880 บาท",
140,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.2 ค่าจ้างประจํา[ ] 4,138,520 บาท","18,240","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 18,240 บาท",
141,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.2 ค่าจ้างประจํา[ ] 4,138,520 บาท","6,200","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 6,200 บาท",
142,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 403,200 บาท","292,000","02101-1 ค่าจ้างชั่วคราว 2 อัตรา 292,000 บาท",
143,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 403,200 บาท","44,000","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 44,000 บาท",
144,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 403,200 บาท","67,200","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 67,200 บาท",
145,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"3. งบรายจ่ายอื่น 700,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 125,680 บาท","105,520","03611-1 ค่าเครื่องแต่งกาย 105,520 บาท",
146,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"2. งบดําเนินงาน 1,869,420 บาท","2.1 ค่าตอบแทน 1,476,580 บาท","1,476,580",,
147,งานบริหารทั่วไปและสอบสวนดําเนินคดี,"2. งบดําเนินงาน 1,869,420 บาท","2.2 ค่าใช้สอย 60,240 บาท","60,240",,
148,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","2.3 ค่าวัสดุ 332,600 บาท","10,245,960","6 ค่าวัสดุยานพาหนะ ค่าวัสดุสํานักงานประเภทเครื่องเขียน แบบพิมพ์ งานตรวจและบังคับใช้กฎหมาย 13,372,740 บาท 1.งบบุคลากร 10,245,960 บาท",
149,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.1 เงินเดือน 3,244,860 บาท","3,037,440","01101-1 อัตราเดิม 8 อัตรา 3,037,440 บาท",
150,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.1 เงินเดือน 3,244,860 บาท","182,220","01102-1 เงินเลื่อนขั้น 182,220 บาท",
151,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.1 เงินเดือน 3,244,860 บาท","25,200","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 25,200 บาท",
152,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.2 ค่าจ้างประจํา[ ] 6,207,780 บาท","5,821,800","01201-1 อัตราเดิม 26 อัตรา 5,821,800 บาท",
153,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.2 ค่าจ้างประจํา[ ] 6,207,780 บาท","349,320","01202-1 เงินเพิ่มค่าจ้างประจํา 349,320 บาท",
154,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.2 ค่าจ้างประจํา[ ] 6,207,780 บาท","27,360","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 27,360 บาท",
155,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.2 ค่าจ้างประจํา[ ] 6,207,780 บาท",9.300,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 9.300 บาท,
156,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.3 ค่าจ้างชั่วคราว[ ] 604,800 บาท","438,000","02101-1 ค่าจ้างชั่วคราว 2 อัตรา 438,000 บาท",
157,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.3 ค่าจ้างชั่วคราว[ ] 604,800 บาท","66,000","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 66,000 บาท",
158,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.3 ค่าจ้างชั่วคราว[ ] 604,800 บาท","100,800","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 100,800 บาท",
159,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 1,869,420 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 188,520 บาท","158,280","03611-1 ค่าเครื่องแต่งกาย 158,280 บาท",
160,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 3,126,780 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 3,126,780 บาท","3,126,780",,
161,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 3,126,780 บาท","2.1 ค่าตอบแทน 2,073,420 บาท","2,073,420",,
162,งานตรวจและบังคับใช้กฎหมาย,"2. งบดําเนินงาน 3,126,780 บาท",2.2 ค่าใช้สอย 97.760 บาท,97.760,,
163,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","2.3 ค่าวัสดุ 955,600 บาท","3,084,150","6 ค่าวัสดุยานพาหนะ งานบริหารทั่วไปฝ่ายโยธา 7, 474,420 บาท 1.งบบุคลากร 3,084,150 บาท",
164,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.1 เงินเดือน 2,176,080 บาท","2,014,860","01101-1 อัตราเดิม 5 อัตรา 2,014,860 บาท",
165,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.1 เงินเดือน 2,176,080 บาท","120,900","01102-1 เงินเลื่อนขั้นสําหรับข้าราชการ 120,900 บาท",
166,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.1 เงินเดือน 2,176,080 บาท","20,160","01106-1 เงินประจําตําแหน่ง 20,160 บาท",
167,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท","630,780","01201-1 อัตราเดิม 3 อัตรา 630,780 บาท",
168,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท","37,980","01202-1 เงินเพิ่มค่าจ้างประจํา 37,980 บาท",
169,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท","2,310","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 2,310 บาท",
170,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท",7.200,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 7.200 บาท,
171,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.3 ค่าจ้างชั่วคราว[ ] 215,970 บาท","161,520","02101-1 ค่าจ้างชั่วคราว 1 อัตรา 161,520 บาท",
172,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.3 ค่าจ้างชั่วคราว[ ] 215,970 บาท","18,450","02102-1 เงินเพิ่มการครองชีพชั่วคราว 18,450 บาท",
173,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.3 ค่าจ้างชั่วคราว[ ] 215,970 บาท","36,000","02103-1 เงินช่วยเหลือค่าครองชีพชั่วคราว 36,000 บาท",
174,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 3,126,780 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 13,830 บาท","3,030","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 3,030 บาท",
175,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 2,630,270 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 2,630,270 บาท","2,630,270",,
176,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 2,630,270 บาท","2.1 ค่าตอบแทน 398,550 บาท","398,550",,
177,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 2,630,270 บาท","2.2 ค่าใช้สอย 2,010,500 บาท","2,010,500",,
178,งานบริหารทั่วไปฝ่ายโยธา,"2. งบดําเนินงาน 2,630,270 บาท","2.3 ค่าวัสดุ 221,220 บาท","221,220",,
179,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","05124-1 เครื่องสูบน้าแบบหอยโข่ง เครื่องยนต์ดีเซล สูบน้าได้ 8,000 ลิตรต่อนาที 2 เครื่อง 1,760,000 บาท","1,760,000",,
180,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,176,080 บาท","2,014,860","01101-1 อัตราเดิม 5 อัตรา 2,014,860 บาท",
181,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,176,080 บาท","120,900","01102-1 เงินเลื่อนขั้นสําหรับข้าราชการ 120,900 บาท",
182,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,176,080 บาท","20,160","01106-1 เงินประจําตําแหน่ง 20,160 บาท",
183,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,176,080 บาท","20,160","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 20,160 บาท",
184,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท","630,780","01201-1 อัตราเดิม 3 อัตรา 630,780 บาท",
185,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท","37,980","01202-1 เงินเพิ่มค่าจ้างประจํา 37,980 บาท",
186,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท","2,310","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 2,310 บาท",
187,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 678,270 บาท",7.200,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 7.200 บาท,
188,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 215,970 บาท","161,520","02101-1 ค่าจ้างชั่วคราว 1 อัตรา 161,520 บาท",
189,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 215,970 บาท","18,450","02102-1 เงินเพิ่มการครองชีพชั่วคราว 18,450 บาท",
190,งานอนุญาตก่อสร้าง ควบคุมอาคารและผังเมือง,"3. งบลงทุน 1,760,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 215,970 บาท","36,000","02103-1 เงินช่วยเหลือค่าครองชีพชั่วคราว 36,000 บาท",
191,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 13,830 บาท","3,030","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 3,030 บาท",
192,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,901,440 บาท","2,686,480","01101-1 อัตราเดิม 9 อัตรา 2,686,480 บาท",
193,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,901,440 บาท","161,200","01102-1 เงินเลื่อนขั้นสําหรับข้าราชการ 161,200 บาท",
194,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.1 เงินเดือน 2,901,440 บาท","26,880","01106-1 เงินประจําตําแหน่ง 26,880 บาท",
195,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 904,360 บาท","841,040","01201-1 อัตราเดิม 5 อัตรา 841,040 บาท",
196,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 904,360 บาท","50,640","01202-1 เงินเพิ่มค่าจ้างประจํา 50,640 บาท",
197,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 904,360 บาท","3,080","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 3,080 บาท",
198,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.2 ค่าจ้างประจํา[ ] 904,360 บาท",9.600,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 9.600 บาท,
199,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 287,960 บาท","215,360","02101-1 ค่าจ้างชั่วคราว 2 อัตรา 215,360 บาท",
200,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 287,960 บาท","24,600","02102-1 เงินเพิ่มการครองชีพชั่วคราว 24,600 บาท",
201,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 287,960 บาท","48,000","02103-1 เงินช่วยเหลือค่าครองชีพชั่วคราว 48,000 บาท",
202,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 37,240 บาท","18,800","03611-1 ค่าเครื่องแต่งกาย 18,800 บาท",
203,งานบํารุงรักษาซ่อมแซม,"3. งบลงทุน 1,760,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 37,240 บาท",4.040,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 4.040 บาท,
204,งานบํารุงรักษาซ่อมแซม,"2. งบดําเนินงาน 3,026,230 บาท","2.1 ค่าตอบแทน 398,550 บาท","398,550",,
205,งานบํารุงรักษาซ่อมแซม,"2. งบดําเนินงาน 3,026,230 บาท","2.2 ค่าใช้สอย 1,362,000 บาท","1,362,000",,
206,งานบํารุงรักษาซ่อมแซม,"2. งบดําเนินงาน 3,026,230 บาท","2.3 ค่าวัสดุ 1,265,680 บาท","462,000","6 ค่าวัสดุก่อสร้าง ค่าวัสดุป้องกันอุบัติภัย ค่าวัสดุสําหรับหน่วยบริการเร่งด่วนกรุงเทพมหานคร 6 3. งบลงทุน 462,000 บาท",
207,งานบํารุงรักษาซ่อมแซม,"2. งบดําเนินงาน 3,026,230 บาท","3.1 ค่าครุภัณฑ์ 21,000 บาท","21,000","05199-3 เครื่องตบดิน 1 เครื่อง 21,000 บาท",
208,งานบํารุงรักษาซ่อมแซม,"2. งบดําเนินงาน 3,026,230 บาท","3.2 ค่าที่ดินและสิ่งก่อสร้าง 441,000 บาท","355,900","05313-7 (2 ปรับปรุงซอยพระรามที่ 2 ซอย 16 355,900 บาท",
209,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","3.2 ค่าที่ดินและสิ่งก่อสร้าง 441,000 บาท","2,500,000","07123-1 ค่าใช้จ่ายในการซ่อมแซมบํารุงรักษาถนน ตรอก ซอยและ สิ่งสาธารณประโยชน์ฯ 2,500,000 บาท",
210,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.1 เงินเดือน 200,000 บาท","188,600","01101-1 อัตราเดิม 1 อัตรา 188,600 บาท",
211,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.1 เงินเดือน 200,000 บาท","11,400","01102-1 เงินเลื่อนขั้น ข้าราชการ 11,400 บาท",
212,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.2 ค่าจ้างประจํา[ ] 6,316,400 บาท","5,680,900","01201-1 อัตราเดิม 31 อัตรา 5,680,900 บาท",
213,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.2 ค่าจ้างประจํา[ ] 6,316,400 บาท","340,800","01202-1 เงินเพิ่มค่าจ้างประจํา 340,800 บาท",
214,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.2 ค่าจ้างประจํา[ ] 6,316,400 บาท","216,000","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 216,000 บาท",
215,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.2 ค่าจ้างประจํา[ ] 6,316,400 บาท","78,700","01206-2 เงินช่วยเหลือค่าครองชีพ 78,700 บาท",
216,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.3 ค่าจ้างชั่วคราว[ ] 3,168,000 บาท","2,302,700","02101-1 ค่าจ้างชั่วคราว 23 อัตรา 2,302,700 บาท",
217,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.3 ค่าจ้างชั่วคราว[ ] 3,168,000 บาท","337,300","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 337,300 บาท",
218,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.3 ค่าจ้างชั่วคราว[ ] 3,168,000 บาท","528,000","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 528,000 บาท",
219,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 237,000 บาท",67.400,03611-1 ค่าเครื่องแต่งกาย 67.400 บาท,
220,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,026,230 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 237,000 บาท","40,000","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 40,000 บาท",
221,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,842,700 บาท","2.1 ค่าตอบแทน 345,900 บาท","345,900",,
222,งานระบายน้้าและแก้ไขปัญหาน้้าท่วม,"2. งบดําเนินงาน 3,842,700 บาท","2.2 ค่าใช้สอย 2,420,600 บาท","2,420,600",,
223,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","2.3 ค่าวัสดุ 1,076,200 บาท","1,076,200",,
224,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.1 เงินเดือน 2,742,300 บาท","2,567,250","01101-1 อัตราเดิม 7 อัตรา 2,567,250 บาท",
225,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.1 เงินเดือน 2,742,300 บาท","154,050","01102-1 เงินเลื่อนขั้น 154,050 บาท",
226,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.2 ค่าจ้างประจํา[ ] 481,400 บาท","454, 150","01201-1 อัตราเดิม 2 อัตรา 454, 150 บาท",
227,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.2 ค่าจ้างประจํา[ ] 481,400 บาท","27,250","01202-1 เงินเพิ่มค่าจ้างประจํา 27,250 บาท",
228,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.3 ค่าจ้างชั่วคราว[ ] 72,000 บาท","56,400","02101-1 ค่าจ้างชั่วคราว 1 อัตรา 56,400 บาท",
229,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.3 ค่าจ้างชั่วคราว[ ] 72,000 บาท","3,600","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 3,600 บาท",
230,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.3 ค่าจ้างชั่วคราว[ ] 72,000 บาท","12,000","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 12,000 บาท",
231,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 3,842,700 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 48,700 บาท","5,200","03611-1 ค่าเครื่องแต่งกาย 5,200 บาท",
232,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 667,050 บาท","2.1 ค่าตอบแทน 358,000 บาท","358,000",,
233,งานบริหารทั่วไปฝ่ายพัฒนาชุมชน,"2. งบดําเนินงาน 667,050 บาท","2.2 ค่าใช้สอย 76,800 บาท","76,800",,
234,งานพัฒนาซุมชนและบริการสังคม,"2. งบดําเนินงาน 667,050 บาท","2.3 ค่าวัสดุ 232,250 บาท","3,339,200","6 ค่าวัสดุอุปกรณ์คอมพิวเตอร์ ค่าวัสดุยานพาหนะ ค่าวัสดุสํานักงานประเภทเครื่องเขียน แบบพิมพ์ งานพัฒนาซุมชนและบริการสังคม 16,026,150 บาท 1.งบบุคลากร 3,339,200 บาท",
