id,text,amount,filename,page,line_num
5543,"03217-1 เงินสมทบกองทุนประกันสังคม 9,288 บาท",9288,65035.pdf,56,18
5544,"03611-1 ค่าเครื่องแต่งกาย 7,800 บาท",7800,65035.pdf,56,19
5545,"03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 4,343 บาท",4343,65035.pdf,56,20
5546,2. งบดําเนินงาน 260600 บาท,260600,65035.pdf,56,21
5547,2.1 ค่าใช้สอย 69900 บาท,69900,65035.pdf,56,23
5548,2.2 ค่าวัสดุ 190700 บาท,190700,65035.pdf,56,26
5549,3. งบลงทุน 157910 บาท,157910,65035.pdf,57,1
5550,"05105-2 1 เครื่องพิมพ์เลเซอร์ หรือ  91761 ชนิด 80 แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง 8,900 บาท",8900,65035.pdf,57,4
5551,"05101-3 2 เครื่องปรับอากาศแบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบตั้งพื้นหรือ แบบแขวนขนาด 26,000 078 1  เครื่อง 36,000 บาท",36000,65035.pdf,57,7
5552,"05105-1 (3) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว) พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 1 เครื่อง 25,510 บาท",25510,65035.pdf,57,10
5553,"05203-4 9 เครื่องถ่ายเอกสารระบบดิจิตอล (ขาว-ดํา) ความเร็ว 20 แผ่นต่อนาที 1  เครื่อง 87,500 บาท",87500,65035.pdf,57,15
5554,งาน:  สุขาภิบ าลอ าหารและอนามัยสิ่งแวดล้อม 1604801 บาท,1604801,65035.pdf,58,1
5555,1. งบบุคลากร 1059801 บาท,1059801,65035.pdf,58,2
5556,1.1 เงินเดือน 130023 บาท,130023,65035.pdf,58,3
5557,"01101-1 อัตราเดิม 3 อัตรา 668,085 บาท",668085,65035.pdf,58,4
5558,"01102-1 เงินเลื่อนขั้น 40,095 บาท",40095,65035.pdf,58,5
5559,"01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 11,340 บาท",11340,65035.pdf,58,6
5560,"01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 6,480 บาท",6480,65035.pdf,58,7
5561,"01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 4,023 บาท",4023,65035.pdf,58,8
5562,1.2 ค่าจ้างประจํา 204579 บาท,204579,65035.pdf,58,9
5563,"01201-1 อัตราเดิม 1 อัตรา 192,861 บาท",192861,65035.pdf,58,10
5564,"01202-1 เงินเพิ่มค่าจ้างประจํา 11,583 บาท",11583,65035.pdf,58,11
5565,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 135 บาท,135,65035.pdf,58,12
5566,1.3 ค่าจ้างชั่วคราว 116640 บาท,116640,65035.pdf,58,13
5567,"02101-1 ค่าจ้างชั่วคราว 1 อัตรา 86,778 บาท",86778,65035.pdf,58,14
5568,"02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 10,422 บาท",10422,65035.pdf,58,15
5569,"02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 19,440 บาท",19440,65035.pdf,58,16
5570,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 8559 บาท,8559,65035.pdf,58,17
5571,"03217-1 เงินสมทบกองทุนประกันสังคม 5,832 บาท",5832,65035.pdf,58,18
5572,"03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 2,127 บาท",2127,65035.pdf,58,19
5573,2. งบดําเนินงาน 545000 บาท,545000,65035.pdf,58,20
5574,2.1 ค่าตอบแทน 11700 บาท,11700,65035.pdf,58,22
5575,2.2 ค่าใช้สอย 533300 บาท,533300,65035.pdf,58,24
5576,งาน: ป้องกันและควบคุมโรค 1327357 บาท,1327357,65035.pdf,59,1
5577,1. งบบุคลากร 1177557 บาท,1177557,65035.pdf,59,2
5578,1.1 เงินเดือน 811137 บาท,811137,65035.pdf,59,3
5579,"01101-1 อัตราเดิม 3 อัตรา 142,317 บาท",142317,65035.pdf,59,4
5580,"01102-1 เงินเลื่อนขั้น 44,550 บาท",44550,65035.pdf,59,5
5581,"01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 12,600 บาท",12600,65035.pdf,59,6
5582,"01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 7,200 บาท",7200,65035.pdf,59,7
5583,"01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 4,470 บาท",4470,65035.pdf,59,8
5584,1.2 ค่าจ้างประจํา 227310 บาท,227310,65035.pdf,59,9
5585,"01201-1 อัตราเดิม 1 อัตรา 214,290 บาท",214290,65035.pdf,59,10
5586,"01202-1 เงินเพิ่มค่าจ้างประจํา 12,870 บาท",12870,65035.pdf,59,11
5587,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 150 บาท,150,65035.pdf,59,12
5588,1.3 ค่าจ้างชั่วคราว 129600 บาท,129600,65035.pdf,59,13
5589,"02101-1 ค่าจ้างชั่วคราว 1 อัตรา 96,420 บาท",96420,65035.pdf,59,14
5590,"02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 11,580 บาท",11580,65035.pdf,59,15
5591,"02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 21,600 บาท",21600,65035.pdf,59,16
5592,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 9510 บาท,9510,65035.pdf,59,17
5593,"03217-1 เงินสมทบกองทุนประกันสังคม 6,480 บาท",6480,65035.pdf,59,18
5594,"03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 3,030 บาท",3030,65035.pdf,59,19
5595,"05199-5 เครื่องวัดระดับเสียง 1  เครื่อง 149,800 บาท",149800,65035.pdf,59,23
5596,งาน: บริหารทั่วไปฝ่ายการศึกษา 2531551 บาท,2531551,65035.pdf,60,1
5597,1. งบบุคลากร 1747069 บาท,1747069,65035.pdf,60,2
5598,1.1 เงินเดือน 721081 บาท,721081,65035.pdf,60,3
5599,"01101-1 เงินเดือนเดิม 6 อัตรา 665,725 บาท",665725,65035.pdf,60,4
5600,"01102-1 เงินเลื่อนขั้น 39,956 บาท",39956,65035.pdf,60,5
5601,"01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 11,760 บาท",11760,65035.pdf,60,6
5602,"01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 2,240 บาท",2240,65035.pdf,60,7
5603,"01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 1,400 บาท",1400,65035.pdf,60,8
5604,1.2 ค่าจ้างประจํา 516628 บาท,516628,65035.pdf,60,9
5605,"01201-1 อัตราเดิม 3 อัตรา 460,684 บาท",460684,65035.pdf,60,10
5606,"01202-1 เงินเพิ่มค่าจ้างประจํา 27,664 บาท",27664,65035.pdf,60,11
5607,"01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 19,040 บาท",19040,65035.pdf,60,12
5608,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 9240 บาท,9240,65035.pdf,60,13
5609,1.3 ค่าจ้างชั่วคราว 483868 บาท,483868,65035.pdf,60,14
5610,"02101-1 ค่าจ้างชั่วคราว 3 อัตรา 350,392 บาท",350392,65035.pdf,60,15
5611,"02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 52,836 บาท",52836,65035.pdf,60,16
5612,"02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 80,640 บาท",80640,65035.pdf,60,17
5613,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 25492 บาท,25492,65035.pdf,60,18
5614,"03217-1 เงินสมทบกองทุนประกันสังคม 24,192 บาท",24192,65035.pdf,60,19
5615,"03611-1 ค่าเครื่องแต่งกาย 1,300 บาท",1300,65035.pdf,60,20
5616,2. งบดําเนินงาน 158972 บาท,158972,65035.pdf,60,21
5617,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 255420 บาท,255420,65035.pdf,60,22
5618,2.1.1 ค่าตอบแทน 16320 บาท,16320,65035.pdf,60,23
5619,2.1.2 ค่าใช้สอย 53700 บาท,53700,65035.pdf,60,25
5620,2.1.3 ค่าวัสดุ 185400 บาท,185400,65035.pdf,60,27
5621,2.2 ค่าสาธารณูปโภค 503552 บาท,503552,65035.pdf,61,1
5622,3. งบลงทุน 25510 บาท,25510,65035.pdf,61,4
5623,"05105-1 เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว พร้อม โปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 1 เครื่อง 25,510 บาท",25510,65035.pdf,61,7
5624,งาน: งบประมาณโรงเรียน 22175349 บาท,22175349,65035.pdf,62,1
5625,1. งบบุคลากร 4493021 บาท,4493021,65035.pdf,62,2
5626,1.1 เงินเดือน 1854209 บาท,1854209,65035.pdf,62,3
5627,"01101-1 เงินเดือนเดิม 5 อัตรา 1,711,865 บาท",1711865,65035.pdf,62,4
5628,"01102-1 เงินเลื่อนขั้น 102,744 บาท",102744,65035.pdf,62,5
5629,"01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 30,240 บาท",30240,65035.pdf,62,6
5630,"01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 5,760 บาท",5760,65035.pdf,62,7
5631,"01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 3,600 บาท",3600,65035.pdf,62,8
5632,1.2 ค่าจ้างประจํา 13284 12 บาท,1328412,65035.pdf,62,9
5633,"01201-1 อัตราเดิม 7 อัตรา 1,184,616 บาท",1184616,65035.pdf,62,10
5634,"01202-1 เงินเพิ่มค่าจ้างประจํา 71,136 บาท",71136,65035.pdf,62,11
5635,"01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 48,960 บาท",48960,65035.pdf,62,12
5636,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 23760 บาท,23760,65035.pdf,62,13
5637,1.3 ค่าจ้างชั่วคราว 1244232 บาท,1244232,65035.pdf,62,14
5638,"02101-1 ค่าจ้างชั่วคราว 9 อัตรา 901,008 บาท",901008,65035.pdf,62,15
5639,"02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 135,864 บาท",135864,65035.pdf,62,16
5640,"02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 207,360 บาท",207360,65035.pdf,62,17
5641,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 66108 บาท,66108,65035.pdf,62,18
5642,"03217-1 เงินสมทบกองทุนประกันสังคม 62,208 บาท",62208,65035.pdf,62,19
5643,"03611-1 ค่าเครื่องแต่งกาย 3,900 บาท",3900,65035.pdf,62,20
5644,2. งบดําเนินงาน 6224528 บาท,6224528,65035.pdf,62,21
5645,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 4929680 บาท,4929680,65035.pdf,62,22
5646,2.1.1 ค่าตอบแทน 1079680 บาท,1079680,65035.pdf,62,23
5647,2.1.2 ค่าใช้สอย 3692100 บาท,3692100,65035.pdf,62,25
5648,2.1.3 ค่าวัสดุ 157900 บาท,157900,65035.pdf,63,1
5649,2.2 ค่าสาธารณูปโภค 1294848 บาท,1294848,65035.pdf,63,5
5650,3. งบลงทุน 2207100 บาท,2207100,65035.pdf,63,8
5651,3.1 ค่าครุภัณฑ์ 431100 บาท,431100,65035.pdf,63,10
5652,"05101-4 (1) เครื่องปรับอากาศแบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบตั้งพื้นหรือแบบแขวน ขนาด 24,000 บีทียู 2 เครื่อง 64,800 บาท",64800,65035.pdf,63,12
5653,"05131-5 2 โทรทัศน์ แอล 8 8 7 444 5 77 ระดับความละเอียดจอภาพ 3840 2160 พิกเซล ขนาด 55 นิ้ว 14 เครื่อง 278,600 บาท",278600,65035.pdf,63,15
5654,"05131-2 1 โทรทัศน์ แอล 8 ดี ((60 7 แบบ 5 77 ระดับความละเอียดจอภาพ 3840%2160 พิกเซล ขนาด 55 นิ้ว 3 เครื่อง 59,700 บาท",59700,65035.pdf,63,19
5655,"05131-3 2 เครื่องมัลติมีเดียโปรเจคเตอร์ ระดับ 64 ขนาด 3,500 51 ![ นททอทร 1  เครื่อง 28,000 บาท",28000,65035.pdf,63,22
5656,3.2 ค่าที่ดินและสิ่งก่อสร้าง 1776000 บาท,1776000,65035.pdf,63,24
5657,"05304-6 1 ปรับปรุงโรงเรียนวัดราษฎร์ศรัทธาธรรม 110,000 บาท",110000,65035.pdf,63,25
5658,"05304-7 (2) ปรับปรุงโรงเรียนบางจาก (นาคเผื่อนอุปลัมภ์) 970,000 บาท",970000,65035.pdf,64,1
5659,"05304-8 (3) ปรับปรุงโรงเรียนวัดธรรมมงคล (หลวงพ่อวิธิยังค์อุปถัมภ์) 400,000 บาท",400000,65035.pdf,64,6
5660,"05304-9 4 ปรับปรุงโรงเรียนพูนสิน (เพชรสุขอุปถัมภ์) 296,000 บาท",296000,65035.pdf,64,19
5661,4. งบเงินอุดหนุน 7864600 บาท,7864600,65035.pdf,64,24
5662,"06104-1 1 ทุนอาหารกลางวันนักเรียน 2,179,600 บาท",2179600,65035.pdf,64,25
5663,"06199-1 (2) ค่าอาหารเช้าของนักเรียนในโรงเรียนสังกัด กรุงเทพมหานคร 5,685,000 บาท",5685000,65035.pdf,64,26
5664,5. งบรายจ่ายอื่น 1386100 บาท,1386100,65035.pdf,65,1
5665,"07103-1 1 ค่าใช้จ่ายในการประชุมครู 3,800 บาท",3800,65035.pdf,65,2
5666,"07103-2 (2 ค่าใช้จ่ายในการฝึกอบรมนายหมู่ลูกเสือสามัญ สามัญรุ่นใหญ่และหัวหน้าหน่วยยุวกาชาด 113,000 บาท",113000,65035.pdf,65,3
5667,"07199-1 (3) ค่าใช้จ่ายโครงการเกษตรปลอดสารพิษ 5,000 บาท",5000,65035.pdf,65,5
5668,"07199-2 4 ค่าใช้จ่ายตามโครงการเรียนฟรี เรียนดี อย่างมีคุณภาพโรงเรียนสังกัดกรุงเทพมหานคร 1,137,000 บาท",1137000,65035.pdf,65,6
5669,"07124-1 (5) ค่าใช้จ่ายในการจัดประชุมสัมมนาคณะกรรมการ สถานศึกษาขั้นพื้นฐานโรงเรียนสังกัดกรุงเทพมหานคร 48,300 บาท",48300,65035.pdf,65,8
5670,"07109-1 (6) ค่าใช้จ่ายในการพัฒนาคุณภาพการดําเนินงาน ศูนย์วิชาการเขต 23,800 บาท",23800,65035.pdf,65,10
5671,"07125-1 (7 ค่าใช้จ่ายในการสัมมนาประธานกรรมการ เครือข่ายผู้ปกครองเพื่อพัฒนาโรงเรียนสังกัด กรุงเทพมหานคร 8,800 บาท",8800,65035.pdf,65,12
5672,07126-1 (8) ค่าใช้จ่ายในการส่งเสริมสนับสนุนให้นักเรียน สร้างสรรค์ผลงานเพื่อการเรียนรู้ 46400 บาท,46400,65035.pdf,65,15
5673,งาน: อํานวยการและบริหารสํานักงานเขต 10257960 บาท,10257960,65036.pdf,26,2
5674,1. งบบุคลากร 5181900 บาท,5181900,65036.pdf,26,3
5675,1.1 เงินเดือน 3469720 บาท,3469720,65036.pdf,26,4
5676,01101-1 อัตราเดิม 8 อัตรา 3065440 บาท,3065440,65036.pdf,26,5
5677,01102-1 เงินเลื่อนขั้น 183960 บาท,183960,65036.pdf,26,6
5678,01106-1 เงินประจําตําแหน่ง 101760 บาท,101760,65036.pdf,26,7
5679,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 118560 บาท,118560,65036.pdf,26,8
5680,1.2 ค่าจ้างประจํา 1214040 บาท,1214040,65036.pdf,26,9
5681,01201-1 อัตราเดิม 6 อัตรา 1144080 บาท,1144080,65036.pdf,26,10
5682,01202-1 เงินเพิ่มค่าจ้างประจํา 36200 บาท,36200,65036.pdf,26,11
5683,01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 19200 บาท,19200,65036.pdf,26,12
5684,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 14560 บาท,14560,65036.pdf,26,13
5685,1.3 ค่าจ้างชั่วคราว 460800 บาท,460800,65036.pdf,26,14
5686,02101-1 ค่าจ้างชั่วคราว 3 อัตรา 340520 บาท,340520,65036.pdf,26,15
5687,02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 43480 บาท,43480,65036.pdf,26,16
5688,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 76800 บาท,76800,65036.pdf,26,17
5689,1.4 ค่าตอบแทน ใช้สอยและวัสดุ| 37340 บาท,37340,65036.pdf,26,18
5690,03217-1 เงินสมทบกองทุนประกันสังคม 23040 บาท,23040,65036.pdf,26,19
5691,03611-1 ค่าเครื่องแต่งกาย 14300 บาท,14300,65036.pdf,26,20
5692,2. งบดําเป็นงาน 2801260 บาท,2801260,65036.pdf,26,21
5693,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1362060 บาท,1362060,65036.pdf,26,22
5694,2.1.1 ค่าตอบแทน 156160 บาท,156160,65036.pdf,26,23
5695,2.1.2 ค่าใช้สอย 671500 บาท,671500,65036.pdf,26,25
5696,2.1.3 ค่าวัสดุ 534400 บาท,534400,65036.pdf,27,1
5697,2.2 ค่าสาธารณูปโภค| 1439200 บาท,1439200,65036.pdf,27,5
5698,3. งบลงทุน 2274800 บาท,2274800,65036.pdf,27,8
5699,3.1 ค่าครุภัณฑ์ 125800 บาท,125800,65036.pdf,27,10
5700,05198-1 (1) เครื่องพิมพ์เลเซอร์ หรือ เถ ขาวดํา ชนิด 60 แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง 8900 บาท,8900,65036.pdf,27,11
5701,"05101-5 (2) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบตั้งพื้นหรือแบบแขวน (ระบบ 1 ขนาด 13,000 978 1  เครื่อง 30100 บาท",30100,65036.pdf,27,13
5702,"05148-2 3 เก้าอี้ทํางานระดับปฏิบัติงาน,ปฏิบัติการ,ชํานาญงาน, อาวุโส,ชํานาญการ 31 ตัว 86800 บาท",86800,65036.pdf,27,16
5703,3.2 ค่าที่ดินและลสิ่งก่อสร้าง 2149000 บาท,2149000,65036.pdf,27,18
5704,05302-7 ปรับปรุงสํานักงานเขตบางกะปิ 2149000 บาท,2149000,65036.pdf,27,19
5705,งาน: ปกครอง 10496440 บาท,10496440,65036.pdf,28,2
5706,1. งบบุคลากร 1151400 บาท,1151400,65036.pdf,28,3
5707,1.1 เงินเดือน 5204580 บาท,5204580,65036.pdf,28,4
5708,01101-1 อัตราเดิม 11 อัตรา 4598160 บาท,4598160,65036.pdf,28,5
5709,01102-1 เงินเลื่อนขั้น 275940 บาท,275940,65036.pdf,28,6
5710,01106-1 เงินประจําตําแหน่ง 152640 บาท,152640,65036.pdf,28,7
5711,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 177840 บาท,177840,65036.pdf,28,8
5712,1.2 ค่าจ้างประจํา 1821060 บาท,1821060,65036.pdf,28,9
5713,01201-1 อัตราเดิม 9 อัตรา 1716120 บาท,1716120,65036.pdf,28,10
5714,01202-1 เงินเพิ่มค่าจ้างประจํา 54300 บาท,54300,65036.pdf,28,11
5715,01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 28800 บาท,28800,65036.pdf,28,12
5716,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 21840 บาท,21840,65036.pdf,28,13
5717,1.3 ค่าจ้างชั่วคราว 691200 บาท,691200,65036.pdf,28,14
5718,02101-1 ค่าจ้างชั่วคราว 5 อัตรา 510780 บาท,510780,65036.pdf,28,15
5719,02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 65220 บาท,65220,65036.pdf,28,16
5720,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 115200 บาท,115200,65036.pdf,28,17
5721,1.4 ค่าตอบแทน ใช้สอยและวัสดุ| 34560 บาท,34560,65036.pdf,28,18
5722,03217-1 เงินสมทบกองทุนประกันสังคม 34560 บาท,34560,65036.pdf,28,19
5723,2. งบดําเป็นงาน 2393040 บาท,2393040,65036.pdf,28,20
5724,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 234240 บาท,234240,65036.pdf,28,21
5725,2.2 ค่าสาธารณูปโภค| 2158800 บาท,2158800,65036.pdf,28,24
5726,5. งบรายจ่ายอื่น 352000 บาท,352000,65036.pdf,28,27
5727,07110-1 ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการอาสาสมัครป้องกันภัยฝ่ายพลเรือน 352000 บาท,352000,65036.pdf,28,28
5728,งาน: บริหารทั่วไปและบริการทะเบียน 9613030 บาท,9613030,65036.pdf,29,1
5729,1. งบบุคลากร 8148700 บาท,8148700,65036.pdf,29,2
5730,1.1 เงินเดือน 1876400 บาท,1876400,65036.pdf,29,3
5731,01101-1 อัตราเดิม 21 อัตรา 7390800 บาท,7390800,65036.pdf,29,4
5732,01102-1 เงินเลื่อนขั้น 443600 บาท,443600,65036.pdf,29,5
5733,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42000 บาท,42000,65036.pdf,29,6
5734,1.2 ค่าจ้างประจํา 271000 บาท,271000,65036.pdf,29,7
5735,01201-1 อัตราเดิม 1 อัตรา 255600 บาท,255600,65036.pdf,29,8
5736,01202-1 เงินเพิ่มค่าจ้างประจํา 15400 บาท,15400,65036.pdf,29,9
5737,1.3 ค่าตอบแทน ใช้สอยและวัสดุ| 1300 บาท,1300,65036.pdf,29,10
5738,03611-1 ค่าเครื่องแต่งกาย 1300 บาท,1300,65036.pdf,29,11
5739,2. งบดําเป็นงาน 1347700 บาท,1347700,65036.pdf,29,12
5740,2.1 ค่าตอบแทน 520700 บาท,520700,65036.pdf,29,14
5741,2.2 ค่าใช้สอย 522100 บาท,522100,65036.pdf,29,16
5742,2.3 ค่าวัสดุ 304900 บาท,304900,65036.pdf,29,20
5743,3. งบลงทุน 116630 บาท,116630,65036.pdf,30,1
5744,05105-2 (1) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 3 เครื่อง 76530 บาท,76530,65036.pdf,30,4
5745,05199-6 (2) เครื่องพิมพ์เลเซอร์ หรือ เถ ขาวดํา ชนิด 60 แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง 8900 บาท,8900,65036.pdf,30,8
5746,05199-5 (3) บอร์ดปิดประกาศ กระจกบานเลื่อน 1 ชุด 13500 บาท,13500,65036.pdf,30,10
5747,05108-7 4 ตู้เหล็กแบบ 2 บาน 3 ตู้ 177100 บาท,177100,65036.pdf,30,11
5748,งาน: บริหารทั่วไปและบริหารการคลัง 4549510 บาท,4549510,65036.pdf,31,1
5749,1. งบบุคลากร 3692800 บาท,3692800,65036.pdf,31,2
5750,1.1 เงินเดือน 3341300 บาท,3341300,65036.pdf,31,3
5751,01101-1 อัตราเดิม 13 อัตรา 3109600 บาท,3109600,65036.pdf,31,4
5752,01102-1 เงินเลื่อนขั้น 186600 บาท,186600,65036.pdf,31,5
5753,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42000 บาท,42000,65036.pdf,31,6
5754,01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 400 บาท,400,65036.pdf,31,7
5755,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 2700 บาท,2700,65036.pdf,31,8
5756,1.2 ค่าจ้างประจํา 246200 บาท,246200,65036.pdf,31,9
5757,01201-1 อัตราเดิม 1 อัตรา 232300 บาท,232300,65036.pdf,31,10
5758,01202-1 เงินเพิ่มค่าจ้างประจํา 13900 บาท,13900,65036.pdf,31,11
5759,1.3 ค่าตอบแทน ใช้สอยและวัสดุ| 105300 บาท,105300,65036.pdf,31,12
5760,03293-1 เงินสมทบเข้ากองทุนเงินทดแทน 104000 บาท,104000,65036.pdf,31,13
5761,03611-1 ค่าเครื่องแต่งกาย 1300 บาท,1300,65036.pdf,31,14
5762,2. งบดําเป็นงาน 177000 บาท,177000,65036.pdf,31,15
5763,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 618700 บาท,618700,65036.pdf,31,16
5764,2.1.1 ค่าตอบแทน 267400 บาท,267400,65036.pdf,31,17
5765,2.1.2 ค่าใช้สอย 174500 บาท,174500,65036.pdf,31,19
5766,2.1.3 ค่าวัสดุ 176800 บาท,176800,65036.pdf,31,23
5767,2.2 ค่าสาธารณูปโภค| 158300 บาท,158300,65036.pdf,31,28
5768,3. งบลงทุน 797110 บาท,797110,65036.pdf,32,1
5769,"05101-2 (1) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบตั้งพื้นหรือแบบแขวน (ระบบ 1 ขนาด 36,000 979 1  เครื่อง 54200 บาท",54200,65036.pdf,32,4
5770,05105-1 (2) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 1 เครื่อง 25510 บาท,25510,65036.pdf,32,7
5771,งาน: บริหารทั่วไปและจัดเก็บรายได้ 8921100 บาท,8921100,65036.pdf,33,1
5772,1. งบบุคลากร 4882000 บาท,4882000,65036.pdf,33,2
5773,1.1 เงินเดือน 4546100 บาท,4546100,65036.pdf,33,3
5774,01101-1 อัตราเดิม 12 อัตรา 4249000 บาท,4249000,65036.pdf,33,4
5775,01102-1 เงินเลื่อนขั้น 255100 บาท,255100,65036.pdf,33,5
5776,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42000 บาท,42000,65036.pdf,33,6
5777,1.2 ค่าจ้างประจํา 333300 บาท,333300,65036.pdf,33,7
5778,01201-1 อัตราเดิม 2 อัตรา 286000 บาท,286000,65036.pdf,33,8
5779,01202-1 เงินเพิ่มค่าจ้างประจํา 17200 บาท,17200,65036.pdf,33,9
5780,01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 24000 บาท,24000,65036.pdf,33,10
5781,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 6100 บาท,6100,65036.pdf,33,11
5782,1.4 ค่าตอบแทน ใช้สอยและวัสดุ| 2600 บาท,2600,65036.pdf,33,12
5783,03611-1 ค่าเครื่องแต่งกาย 2600 บาท,2600,65036.pdf,33,13
5784,2. งบดําเป็นงาน 4025600 บาท,4025600,65036.pdf,33,14
5785,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 489200 บาท,489200,65036.pdf,33,15
5786,2.1.1 ค่าตอบแทน 84000 บาท,84000,65036.pdf,33,16
5787,2.1.2 ค่าใช้สอย 189800 บาท,189800,65036.pdf,33,18
5788,2.1.3 ค่าวัสดุ 215400 บาท,215400,65036.pdf,33,22
5789,2.2 ค่าสาธารณูปโภค| 3536400 บาท,3536400,65036.pdf,33,27
5790,3. งบลงทุน 13500 บาท,13500,65036.pdf,34,1
5791,05119-1 เครื่องโทรสารแบบใช้กระดาษธรรมดา ส่งเอกสาร ได้ครั้งละไม่น้อยกว่า 20 แผ่น 1 เครื่อง 13500 บาท,13500,65036.pdf,34,4
